"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02857V03435","Type of Procedure","C02076V02508","Age Group","UNIT","VALUE"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","215","0 - 14 years","Number","0"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","415","25 - 34 years","Number","0"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","465","35 - 44 years","Number","15"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","500","45 - 54 years","Number","10"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","535","55 - 64 years","Number","65"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","570","65 - 74 years","Number","12"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","600","75 - 84 years","Number","15"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","630","85 years and over","Number","49"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0104","Carpal tunnel decompression","-","All ages","Number","175"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","215","0 - 14 years","Number","104"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","310","15 - 24 years","Number","223"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","415","25 - 34 years","Number","506"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","465","35 - 44 years","Number","855"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","500","45 - 54 years","Number","902"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","535","55 - 64 years","Number","709"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","570","65 - 74 years","Number","1024"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","600","75 - 84 years","Number","391"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0200","Procedures on endocrine system","-","All ages","Number","4753"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","415","25 - 34 years","Number","322"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","465","35 - 44 years","Number","388"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","500","45 - 54 years","Number","437"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","535","55 - 64 years","Number","289"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","570","65 - 74 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","600","75 - 84 years","Number","147"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0201","Thyroidectomy","-","All ages","Number","2074"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","215","0 - 14 years","Number","568"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","310","15 - 24 years","Number","290"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","415","25 - 34 years","Number","593"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","465","35 - 44 years","Number","760"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","500","45 - 54 years","Number","1136"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","535","55 - 64 years","Number","1652"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","570","65 - 74 years","Number","2095"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","600","75 - 84 years","Number","1751"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","630","85 years and over","Number","734"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0300","Procedures on eye & adnexa","-","All ages","Number","9579"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","215","0 - 14 years","Number","91"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","310","15 - 24 years","Number","9"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","415","25 - 34 years","Number","66"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","465","35 - 44 years","Number","45"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","500","45 - 54 years","Number","91"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","535","55 - 64 years","Number","139"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","570","65 - 74 years","Number","437"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","600","75 - 84 years","Number","553"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","630","85 years and over","Number","89"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0301","Cataract surgery","-","All ages","Number","1520"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","215","0 - 14 years","Number","23"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","310","15 - 24 years","Number","6"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","415","25 - 34 years","Number","15"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","465","35 - 44 years","Number","10"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","500","45 - 54 years","Number","11"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","535","55 - 64 years","Number","10"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","570","65 - 74 years","Number","5"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","600","75 - 84 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0302","Correction of squint","-","All ages","Number","83"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","215","0 - 14 years","Number","744"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","310","15 - 24 years","Number","209"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","415","25 - 34 years","Number","203"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","465","35 - 44 years","Number","648"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","500","45 - 54 years","Number","371"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","535","55 - 64 years","Number","303"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","570","65 - 74 years","Number","305"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","600","75 - 84 years","Number","421"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","630","85 years and over","Number","370"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0400","Procedures on ear & mastoid process","-","All ages","Number","3574"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","215","0 - 14 years","Number","264"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","310","15 - 24 years","Number","26"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","465","35 - 44 years","Number","27"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","500","45 - 54 years","Number","56"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","535","55 - 64 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","570","65 - 74 years","Number",""
