"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02857V03435","Type of Procedure","C02076V02508","Age Group","UNIT","VALUE"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0500","Procedures on nose, mouth & pharynx","535","55 - 64 years","Number","1329"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0500","Procedures on nose, mouth & pharynx","570","65 - 74 years","Number","1758"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0500","Procedures on nose, mouth & pharynx","600","75 - 84 years","Number","1222"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0500","Procedures on nose, mouth & pharynx","630","85 years and over","Number","598"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0500","Procedures on nose, mouth & pharynx","-","All ages","Number","10678"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","215","0 - 14 years","Number","1357"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","310","15 - 24 years","Number","281"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","415","25 - 34 years","Number","71"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","465","35 - 44 years","Number","51"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","500","45 - 54 years","Number","56"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","535","55 - 64 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","570","65 - 74 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","600","75 - 84 years","Number","0"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0501","Tonsillectomy","-","All ages","Number","1922"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","215","0 - 14 years","Number","151"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","310","15 - 24 years","Number","42"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","415","25 - 34 years","Number","147"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","465","35 - 44 years","Number","67"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","500","45 - 54 years","Number","36"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","535","55 - 64 years","Number","86"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","570","65 - 74 years","Number","93"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","600","75 - 84 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","630","85 years and over","Number","0"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0600","Dental services","-","All ages","Number","631"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","215","0 - 14 years","Number","33760"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","310","15 - 24 years","Number","3412"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","415","25 - 34 years","Number","5861"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","465","35 - 44 years","Number","5764"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","500","45 - 54 years","Number","10949"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","535","55 - 64 years","Number","21267"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","570","65 - 74 years","Number","33068"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","600","75 - 84 years","Number","27819"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","630","85 years and over","Number","7759"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0700","Procedures on respiratory system","-","All ages","Number","149658"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","215","0 - 14 years","Number","950"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","310","15 - 24 years","Number","192"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","415","25 - 34 years","Number","1226"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","465","35 - 44 years","Number","596"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","500","45 - 54 years","Number","877"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","535","55 - 64 years","Number","1690"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","570","65 - 74 years","Number","4154"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","600","75 - 84 years","Number","3360"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","630","85 years and over","Number","585"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0701","Diagnostic bronchoscopy with or without biopsy","-","All ages","Number","13629"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","215","0 - 14 years","Number","55"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","465","35 - 44 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","500","45 - 54 years","Number","200"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","535","55 - 64 years","Number","891"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","570","65 - 74 years","Number","1993"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","600","75 - 84 years","Number","749"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0702","Pneumonectomy (Pulmectomy)","-","All ages","Number","3947"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","465","35 - 44 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","500","45 - 54 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","535","55 - 64 years","Number","144"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","570","65 - 74 years","Number","303"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","600","75 - 84 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0703","Lung transplantation","-","All ages","Number","623"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","215","0 - 14 years","Number","5190"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","310","15 - 24 years","Number","818"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","415","25 - 34 years","Number","1572"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","465","35 - 44 years","Number","3798"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","500","45 - 54 years","Number","10437"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","535","55 - 64 years","Number","21426"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","570","65 - 74 years","Number","26995"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","600","75 - 84 years","Number","21912"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","630","85 years and over","Number","4948"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0800","Procedures on cardiovascular system","-","All ages","Number","97092"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","465","35 - 44 years","Number","48"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","500","45 - 54 years","Number","175"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","535","55 - 64 years","Number","365"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","570","65 - 74 years","Number","672"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","600","75 - 84 years","Number","2063"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","630","85 years and over","Number","1259"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0801","Pacemaker procedures","-","All ages","Number","4633"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","465","35 - 44 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","500","45 - 54 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","535","55 - 64 years","Number","853"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","570","65 - 74 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","600","75 - 84 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0802","Heart transplantation","-","All ages","Number","1354"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","215","0 - 14 years","Number","89"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","310","15 - 24 years","Number","97"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","415","25 - 34 years","Number","332"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","465","35 - 44 years","Number","746"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","500","45 - 54 years","Number","2267"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","535","55 - 64 years","Number","4483"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","570","65 - 74 years","Number","5368"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","600","75 - 84 years","Number","3771"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","630","85 years and over","Number","522"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0803","Cardiac catheterisation","-","All ages","Number","17673"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","465","35 - 44 years","Number","764"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","500","45 - 54 years","Number","2060"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","535","55 - 64 years","Number","3458"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","570","65 - 74 years","Number","4176"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","600","75 - 84 years","Number","2866"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","630","85 years and over","Number","584"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0804","Transluminal coronary angioplasty / PTCAs","-","All ages","Number","13971"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","465","35 - 44 years","Number","237"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","500","45 - 54 years","Number","1157"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","535","55 - 64 years","Number","4102"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","570","65 - 74 years","Number","4673"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","600","75 - 84 years","Number","2043"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","630","85 years and over","Number","126"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0805","Coronary artery bypass graft","-","All ages","Number","12338"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","465","35 - 44 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","500","45 - 54 years","Number","44"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","535","55 - 64 years","Number","319"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","570","65 - 74 years","Number","710"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","600","75 - 84 years","Number","597"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","630","85 years and over","Number","39"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0806","Carotid endarterectomy","-","All ages","Number","1709"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","465","35 - 44 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","500","45 - 54 years","Number","225"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","535","55 - 64 years","Number","551"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","570","65 - 74 years","Number","561"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","600","75 - 84 years","Number","665"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0807","Femoropopliteal bypass","-","All ages","Number","2027"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","465","35 - 44 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","500","45 - 54 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","535","55 - 64 years","Number","102"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","570","65 - 74 years","Number","649"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","600","75 - 84 years","Number","408"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0808","Infrarenal aortic aneurysm repair","-","All ages","Number","1265"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","215","0 - 14 years","Number","0"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","310","15 - 24 years","Number","0"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","465","35 - 44 years","Number","9"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","500","45 - 54 years","Number","6"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","535","55 - 64 years","Number","39"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","570","65 - 74 years","Number","29"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","600","75 - 84 years","Number","23"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","630","85 years and over","Number","0"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0809","Therapeutic venesection","-","All ages","Number","111"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","415","25 - 34 years","Number","7"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","465","35 - 44 years","Number","18"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","500","45 - 54 years","Number","16"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","535","55 - 64 years","Number","63"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","570","65 - 74 years","Number","44"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","600","75 - 84 years","Number","31"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0810","Ligation & stripping of varicose veins","-","All ages","Number","187"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","215","0 - 14 years","Number","562"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","310","15 - 24 years","Number","446"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","415","25 - 34 years","Number","664"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","465","35 - 44 years","Number","1574"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","500","45 - 54 years","Number","1850"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","535","55 - 64 years","Number","3715"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","570","65 - 74 years","Number","3388"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","600","75 - 84 years","Number","2090"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","630","85 years and over","Number","512"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0900","Procedures on blood & blood-forming organs","-","All ages","Number","14798"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","215","0 - 14 years","Number","357"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","310","15 - 24 years","Number","121"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","415","25 - 34 years","Number","334"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","465","35 - 44 years","Number","853"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","500","45 - 54 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","535","55 - 64 years","Number","1458"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","570","65 - 74 years","Number","275"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","600","75 - 84 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","0901","Bone marrow / stem cell transplantation","-","All ages","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","215","0 - 14 years","Number","8836"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","310","15 - 24 years","Number","6285"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","415","25 - 34 years","Number","7221"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","465","35 - 44 years","Number","14137"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","500","45 - 54 years","Number","19219"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","535","55 - 64 years","Number","33925"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","570","65 - 74 years","Number","50682"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","600","75 - 84 years","Number","47231"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","630","85 years and over","Number","18002"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1000","Procedures on digestive system","-","All ages","Number","205536"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","215","0 - 14 years","Number","90"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","310","15 - 24 years","Number","598"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","415","25 - 34 years","Number","736"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","465","35 - 44 years","Number","1086"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","500","45 - 54 years","Number","1392"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","535","55 - 64 years","Number","3762"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","570","65 - 74 years","Number","4918"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","600","75 - 84 years","Number","6984"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","630","85 years and over","Number","3572"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1001","Colonoscopy with or without biopsy","-","All ages","Number","23136"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","215","0 - 14 years","Number","84"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","310","15 - 24 years","Number","457"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","415","25 - 34 years","Number","661"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","465","35 - 44 years","Number","833"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","500","45 - 54 years","Number","1364"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","535","55 - 64 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","570","65 - 74 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","600","75 - 84 years","Number","4150"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","630","85 years and over","Number","1036"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1002","Colectomy","-","All ages","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1003","Appendicectomy","215","0 - 14 years","Number","3354"
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1003","Appendicectomy","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2018","2018","1","Male","1003","Appendicectomy","415","25 - 34 years","Number",""
